LECROYHDO6104A,17988,Waveform
Segments,1,SegmentSize,10000
Segment,TrigTime,TimeSinceSegment1
#1,01-Jan-2000 00:00:00,0                 
Time,Ampl
0,0.08185
1,0.1825836
2,0.080725
3,0.1300346
4,0.1148473
5,0.0818375
6,0.139
7,0.07767906
8,0.126075
9,0.1107375
10,0.1017007
11,0.073525
12,0.0882375
13,0.06002163
14,0.215575
15,0.101225
16,0.08947329
17,0.07007691
18,0.08994431
19,0.085075
20,0.090275
21,0.1082922
22,0.1098
23,0.2832655
24,0.0938375
25,0.0776
26,0.0988
27,0.097025
28,0.1378125
29,0.0753375
30,0.1793248
31,0.111875
32,0.0920875
33,0.068975
34,0.1015978
35,0.1567
36,0.0947
37,0.079525
38,0.122075
39,0.103025
40,0.06204833
41,0.0808125
42,0.1061875
43,0.1128625
44,0.1035875
45,0.0975125
46,0.1287375
47,0.1362125
48,0.08675
49,0.04922336
50,0.290575
51,0.0903875
52,0.1135375
53,0.0947625
54,0.105375
55,0.191625
56,0.112075
57,0.2145125
58,0.08285892
59,0.1088125
60,0.081225
61,0.1268348
62,0.1154
63,0.1703125
64,0.0907625
65,0.118325
66,0.0786
67,0.0679125
68,0.132098
69,0.102525
70,0.08292375
71,0.0815625
72,0.1323125
73,0.1031875
74,0.1076
75,0.1892591
76,0.0891375
77,0.0869
78,0.120825
79,0.08885
80,0.0907375
81,0.080075
82,0.1482
83,0.1010466
84,0.2020375
85,0.183175
86,0.1602141
87,0.091625
88,0.1646575
89,0.09188934
90,0.0966625
91,0.1474625
92,0.0796875
93,0.131611
94,0.08672076
95,0.114675
96,0.1128125
97,0.134625
98,0.0916
99,0.102
100,0.0931125
101,0.0815125
102,0.08395
103,0.1112125
104,0.0887125
105,0.08401501
106,0.08376359
107,0.1176125
108,0.1419375
109,0.06775
110,0.08602399
111,0.07286898
112,0.0739125
113,0.08755413
114,0.153376
115,0.1180333
116,0.1019375
117,0.156625
118,0.1867125
119,0.1115625
120,0.0708875
121,0.07373938
122,0.09015
123,0.258075
124,0.0748125
125,0.0688375
126,0.109375
127,0.169275
128,0.1222386
129,0.0684875
130,0.1032625
131,0.08105
132,0.074375
133,0.1363625
134,0.15125
135,0.08705
136,0.0807625
137,0.085875
138,0.0948
139,0.0837375
140,0.1084
141,0.0831
142,0.1517125
143,0.121475
144,0.1340467
145,0.1357501
146,0.07099636
147,0.0836875
148,0.10345
149,0.088
150,0.063
151,0.1345875
152,0.1204206
153,0.067225
154,0.1307625
155,0.10865
156,0.0800125
157,0.0830875
158,0.1004625
159,0.1029048
160,0.1822875
161,0.05444826
162,0.4114125
163,0.068675
164,0.1396045
165,0.1335375
166,0.06835162
167,0.05928848
168,0.088975
169,0.0986
170,0.1642
171,0.0902375
172,0.1092125
173,0.1324625
174,0.09533321
175,0.151787
176,0.07674488
177,0.0750125
178,0.08945
179,0.083225
180,0.149186
181,0.0908
182,0.09242857
183,0.10895
184,0.0900375
185,0.158875
186,0.1019375
187,0.0918875
188,0.198125
189,0.0944375
190,0.1818625
191,0.1284
192,0.0671875
193,0.4142
194,0.07325
195,0.1776428
196,0.0961125
197,0.1608611
