LECROYHDO6104A,17988,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,16-Apr-2023 01:29:02,0                 
Time,Ampl
-1.000548e-07,0.006125
-9.995482e-08,0.004375
-9.985482e-08,0.002
-9.975482e-08,-0.0005625
-9.965482e-08,-0.0025
-9.955482e-08,-0.003375
-9.945482e-08,-0.003
-9.935482e-08,-0.001875
-9.925482e-08,-0.00075
-9.915482e-08,-0.000375
-9.905482e-08,-0.001
-9.895482e-08,-0.00225
-9.885482e-08,-0.0033125
-9.875482e-08,-0.003375
-9.865482e-08,-0.002
-9.855482e-08,0.000375
-9.845482e-08,0.0028125
-9.835482e-08,0.00425
-9.825482e-08,0.004
-9.815482e-08,0.0023125
-9.805482e-08,0.000125
-9.795482e-08,-0.00125
-9.785482e-08,-0.001
-9.775482e-08,0.001
-9.765482e-08,0.0039375
-9.755482e-08,0.006375
-9.745482e-08,0.007
-9.735482e-08,0.0054375
-9.725482e-08,0.002125
-9.715482e-08,-0.0015
-9.705482e-08,-0.004
-9.695482e-08,-0.0045
-9.685482e-08,-0.003
-9.675482e-08,-0.000375
-9.665482e-08,0.002
-9.655482e-08,0.003125
-9.645482e-08,0.00275
-9.635482e-08,0.001375
-9.625482e-08,0
-9.615482e-08,-0.0005
-9.605482e-08,0.0003125
-9.595482e-08,0.0020625
-9.585482e-08,0.004
-9.575482e-08,0.0053125
-9.565482e-08,0.0055
-9.555482e-08,0.0045625
-9.545482e-08,0.003
-9.535482e-08,0.001375
-9.525482e-08,0.000125
-9.515482e-08,-0.000625
-9.505482e-08,-0.001
-9.495482e-08,-0.001125
-9.485482e-08,-0.0011875
-9.475482e-08,-0.0011875
-9.465482e-08,-0.001
-9.455482e-08,-0.00075
-9.445482e-08,-0.0005
-9.435482e-08,-0.0005625
-9.425482e-08,-0.001
-9.415482e-08,-0.0016875
-9.405482e-08,-0.0021875
-9.395482e-08,-0.002125
-9.385482e-08,-0.001
-9.375482e-08,0.001
-9.365482e-08,0.0033125
-9.355482e-08,0.00525
-9.345482e-08,0.006
-9.335482e-08,0.005375
-9.325482e-08,0.003625
-9.315482e-08,0.0015625
-9.305482e-08,0
-9.295482e-08,-0.0004375
-9.285482e-08,0.00025
-9.275482e-08,0.001625
-9.265482e-08,0.003
-9.255482e-08,0.0036875
-9.245482e-08,0.0034375
-9.235482e-08,0.0024375
