LECROYHDO6104A,17988,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,16-Apr-2023 01:29:02,0                 
Time,Ampl
-1.000339e-07,-0.0013125
-9.993386e-08,-0.0020125
-9.983386e-08,-0.002325
-9.973386e-08,-0.0021
-9.963386e-08,-0.0014375
-9.953386e-08,-0.0006
-9.943386e-08,7.5e-05
-9.933386e-08,0.0003
-9.923386e-08,2.5e-05
-9.913386e-08,-0.0006125
-9.903386e-08,-0.0012875
-9.893386e-08,-0.0017
-9.883386e-08,-0.001675
-9.873386e-08,-0.0012125
-9.863386e-08,-0.0005375
-9.853386e-08,0.0001
-9.843386e-08,0.0004625
-9.833386e-08,0.00045
-9.823386e-08,0.00015
-9.813386e-08,-0.0003
-9.803386e-08,-0.000725
-9.793386e-08,-0.0010375
-9.783386e-08,-0.0012125
-9.773386e-08,-0.0013
-9.763386e-08,-0.0013375
-9.753386e-08,-0.001325
-9.743386e-08,-0.0012625
-9.733386e-08,-0.0011
-9.723386e-08,-0.0008625
-9.713386e-08,-0.0006
-9.703386e-08,-0.0004
-9.693386e-08,-0.0003
-9.683386e-08,-0.0003125
-9.673386e-08,-0.0003375
-9.663386e-08,-0.0003
-9.653386e-08,-0.0001
-9.643386e-08,0.0002125
-9.633386e-08,0.000525
-9.623386e-08,0.0006625
-9.613386e-08,0.0005
-9.603386e-08,2.5e-05
-9.593386e-08,-0.000625
-9.583386e-08,-0.0012
-9.573386e-08,-0.0015
-9.563386e-08,-0.0014
-9.553386e-08,-0.00095
-9.543386e-08,-0.0003625
-9.533386e-08,0.0001
-9.523386e-08,0.00025
-9.513386e-08,5e-05
-9.503386e-08,-0.0004
-9.493386e-08,-0.0009
-9.483386e-08,-0.001225
-9.473386e-08,-0.001275
-9.463386e-08,-0.00105
-9.453386e-08,-0.0007
-9.443386e-08,-0.000375
-9.433386e-08,-0.0002125
-9.423386e-08,-0.0002625
-9.413386e-08,-0.0005
-9.403386e-08,-0.0008375
-9.393386e-08,-0.0012
-9.383386e-08,-0.0015
-9.373386e-08,-0.0017
-9.363386e-08,-0.0017625
-9.353386e-08,-0.0016875
-9.343386e-08,-0.00145
-9.333386e-08,-0.0011
-9.323386e-08,-0.0007125
-9.313386e-08,-0.0003875
-9.303386e-08,-0.000225
-9.293386e-08,-0.0003
-9.283386e-08,-0.0005625
