LECROYHDO6104A,17988,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,16-Apr-2023 00:22:34,0                 
Time,Ampl
-1.164767e-07,0.0015625
-1.163767e-07,0.0015625
-1.162767e-07,0.001
-1.161767e-07,0
-1.160767e-07,-0.0011875
-1.159767e-07,-0.00225
-1.158767e-07,-0.003
-1.157767e-07,-0.0033125
-1.156767e-07,-0.003375
-1.155767e-07,-0.00325
-1.154767e-07,-0.003
-1.153767e-07,-0.0025625
-1.152767e-07,-0.0018125
-1.151767e-07,-0.0005625
-1.150767e-07,0.001
-1.149767e-07,0.0025625
-1.148767e-07,0.003625
-1.147767e-07,0.0038125
-1.146767e-07,0.003
-1.145767e-07,0.0015625
-1.144767e-07,6.25e-05
-1.143767e-07,-0.000875
-1.142767e-07,-0.001
-1.141767e-07,-0.0004375
-1.140767e-07,0.00025
-1.139767e-07,0.0005
-1.138767e-07,0
-1.137767e-07,-0.001
-1.136767e-07,-0.0019375
-1.135767e-07,-0.0020625
-1.134767e-07,-0.001
-1.133767e-07,0.0009375
-1.132767e-07,0.003
-1.131767e-07,0.00425
-1.130767e-07,0.004
-1.129767e-07,0.0023125
-1.128767e-07,-6.25e-05
-1.127767e-07,-0.002125
-1.126767e-07,-0.003
-1.125767e-07,-0.002375
-1.124767e-07,-0.0006875
-1.123767e-07,0.0010625
-1.122767e-07,0.002
-1.121767e-07,0.001625
-1.120767e-07,0.000125
-1.119767e-07,-0.0016875
-1.118767e-07,-0.003
-1.117767e-07,-0.00325
-1.116767e-07,-0.0025
-1.115767e-07,-0.0011875
-1.114767e-07,0
-1.113767e-07,0.000625
-1.112767e-07,0.000625
-1.111767e-07,0.0003125
-1.110767e-07,0
-1.109767e-07,-0.000125
-1.108767e-07,-0.0001875
-1.107767e-07,-0.0004375
-1.106767e-07,-0.001
-1.105767e-07,-0.00175
-1.104767e-07,-0.0021875
-1.103767e-07,-0.0016875
-1.102767e-07,0
-1.101767e-07,0.0025
-1.100767e-07,0.005
-1.099767e-07,0.006375
-1.098767e-07,0.006
-1.097767e-07,0.0038125
-1.096767e-07,0.0005625
-1.095767e-07,-0.0024375
-1.094767e-07,-0.004
-1.093767e-07,-0.0036875
-1.092767e-07,-0.00175
-1.091767e-07,0.000875
-1.090767e-07,0.003
-1.089767e-07,0.003875
-1.088767e-07,0.0035
-1.087767e-07,0.00225
-1.086767e-07,0.001
-1.085767e-07,0.00025
-1.084767e-07,0.0001875
-1.083767e-07,0.0005625
-1.082767e-07,0.001
-1.081767e-07,0.001375
-1.080767e-07,0.0016875
-1.079767e-07,0.0021875
-1.078767e-07,0.003
-1.077767e-07,0.004
-1.076767e-07,0.0048125
-1.075767e-07,0.004875
-1.074767e-07,0.004
-1.073767e-07,0.0025625
-1.072767e-07,0.0013125
-1.071767e-07,0.001
-1.070767e-07,0.002
-1.069767e-07,0.0040625
-1.068767e-07,0.00625
-1.067767e-07,0.0075
-1.066767e-07,0.007
-1.065767e-07,0.005
-1.064767e-07,0.0023125
-1.063767e-07,0.000375
-1.062767e-07,0
-1.061767e-07,0.001375
